name,domain,year founded,industry
motorola,motorola.com,1928,consumer electronics
chubb,chubb.com,1882,insurance
stanford university,stanford.edu,,higher education
mercer,mercer.com,,human resources
airtel,airtel.in,1995,telecommunications
colegio,fixzero.com,,primary/secondary education
sony,sony.net,1946,entertainment
genentech,gene.com,1976,biotechnology
delphi,delphi.com,2009,automotive
serco,serco.com,1988,outsourcing/offshoring
bd,bd.com,1897,medical devices
leroy merlin,leroymerlin.fr,1998,retail
sct ltd co.,pttc.com.tw,1998,electrical/electronic manufacturing
air liquide,airliquide.com,1902,utilities
te connectivity,te.com,2007,electrical/electronic manufacturing
wood,woodplc.com,1912,oil & energy
promsvyaznedvizhimost,,,legislative office
duke energy corporation,duke-energy.com,1904,utilities
university of toronto,utoronto.ca,1827,higher education
teksystems,teksystems.com,1983,information technology and services
insidesecure,insidesecure.com,1995,computer software
sun life financial,sunlife.com,1865,financial services
tata motors,tatamotors.com,1945,automotive
century 21®,century21.com,1971,real estate
adecco group,adeccogroup.com,1996,staffing and recruiting
colgate palmolive,colgate.com,1806,consumer goods
ge aviation,geaviation.com,,airlines/aviation
no,geenwebsite.be,,chemicals
tesla,teslamotors.com,2003,automotive
sena,sena.edu.co,1957,education management
queensland health,health.qld.gov.au,,hospital & health care
air france,airfrance.com,1933,airlines/aviation
u.s. coast guard,uscg.mil,1915,military
the janssen pharmaceutical companies of johnson & johnson,janssen.com,,pharmaceuticals
bayer healthcare,,1863,pharmaceuticals
stmicroelectronics,st.com,1987,semiconductors
charter communications,charter.com,1993,telecommunications
re/max,remax.com,1973,real estate
jabil,jabil.com,1966,electrical/electronic manufacturing
us government,gao.gov,,government administration
skanska,skanska.com,1887,construction
leonardo,leonardocompany.com,1948,defense & space
accorhotels,accor.com,1967,hospitality
brf,brf-global.com,1934,food & beverages
l&t infotech,lntinfotech.com,1997,information technology and services
sonatrach,sonatrach.com,1963,oil & energy
pizza hut,pizzahut.com,1958,restaurants
technip,technip.com,1958,oil & energy
eni,eni.com,,oil & energy
departament d'ensenyament - generalitat de catalunya,,1931,education management
altran,altran.com,1982,information technology and services
emerson automation solutions,emerson.com,,mechanical or industrial engineering
the boston consulting group (bcg),bcg.com,1963,management consulting
l-3 communications,l3design.eu,1997,management consulting
davita,davita.com,1999,hospital & health care
intesa sanpaolo,intesasanpaolo.com,2007,banking
daimler ag,daimler.com,1886,automotive
lear corporation,lear.com,1917,automotive
rockwell automation,rockwellautomation.com,1903,industrial automation
rb,rb.com,1823,consumer goods
db schenker,dbschenker.com,,logistics and supply chain
hôtel,hadleighdental.co.uk,,hospitality
wells fargo advisors,wellsfargoadvisors.com,,financial services
accenture in india,,1989,information technology and services
texas a&m university,tamu.edu,1876,higher education
bloomberg lp,bloomberg.com,1981,financial services
arizona state university,asu.edu,1885,higher education
heineken,theheinekencompany.com,1864,food & beverages
escola,espeesolar.com,,primary/secondary education
statoil,statoil.com,1972,oil & energy
ppg industries,ppg.com,1883,chemicals
sainsbury's,sainsburys.co.uk,1869,retail
fiserv,fiserv.com,1984,information technology and services
teva pharmaceuticals,tevapharm.com,1901,pharmaceuticals
rogers communications,rogers.com,1960,telecommunications
conocophillips,conocophillips.com,2012,oil & energy
diageo,diageo.com,1997,wine and spirits
michigan state university,msu.edu,,higher education
qatar airways,qatarairways.com,1997,airlines/aviation
generali,generali.com,1831,insurance
suntrust bank,suntrust.com,1891,financial services
rockwell collins,rockwellcollins.com,1933,aviation & aerospace
office depot,officedepot.com,1986,business supplies and equipment
sephora,sephora.com,1969,retail
telenor,telenor.com,1855,telecommunications
manulife,manulife.com,,financial services
ceva logistics,cevalogistics.com,2006,logistics and supply chain
